Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,07/21/23,07/29/23,Second Class,CUST1001,Vikram Patel,Consumer,India,Pune,Maharashtra,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
2,CA-2016-152156,02/22/23,03/03/23,Second Class,CUST1002,Rajesh Iyer,Consumer,India,Mumbai,Maharashtra,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
3,CA-2016-138688,08/12/21,08/19/21,Second Class,CUST1003,Anjali Gupta,Corporate,India,Delhi,Delhi,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714
4,US-2015-108966,09/03/22,09/04/22,Standard Class,CUST1004,Anjali Gupta,Consumer,India,Pune,Maharashtra,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,US-2015-108966,06/24/24,06/26/24,Standard Class,CUST1005,Anjali Gupta,Consumer,India,Chandigarh,Chandigarh,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,CA-2014-115812,11/24/22,12/01/22,Standard Class,CUST1006,Neha Mehta,Consumer,India,Jaipur,Rajasthan,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
7,CA-2014-115812,06/17/21,06/23/21,Standard Class,CUST1007,Priya Singh,Consumer,India,Lucknow,Uttar Pradesh,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656
8,CA-2014-115812,12/19/23,12/25/23,Standard Class,CUST1008,Rajesh Iyer,Consumer,India,Kolkata,West Bengal,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
9,CA-2014-115812,04/10/23,04/17/23,Standard Class,CUST1009,Sneha Kapoor,Consumer,India,Kolkata,West Bengal,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
10,CA-2014-115812,05/09/20,05/19/20,Standard Class,CUST1010,Anjali Gupta,Consumer,India,Ahmedabad,Gujarat,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47
11,CA-2014-115812,08/31/20,09/08/20,Standard Class,CUST1011,Sneha Kapoor,Consumer,India,Bangalore,Karnataka,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
